EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1618271812.848835,1704581.500,42571,2,AK,1,100,41663
1618271815.491037,1707142.000,42571,2,AK,1,100,RD
1618271815.504451,1707155.000,42573,2,AK,1,100,42569
1618271815.517866,1707168.000,42573,2,AK,1,100,RD
1618271818.149748,1709718.500,43475,2,AK,1,100,42569
1618271820.781630,1712269.000,43475,2,AK,1,100,RD
1618271820.808976,1712295.500,43477,2,AK,1,100,43473
1618271820.836321,1712322.000,43477,2,AK,1,100,RD
1618271823.447565,1714852.500,44377,2,AK,1,100,43473
1618271826.058809,1717383.000,44377,2,AK,1,100,RD
1618271826.065516,1717389.500,44379,2,AK,1,100,44375
1618271826.072224,1717396.000,44379,2,AK,1,100,RD
1618271828.705137,1719947.500,45282,2,AK,1,100,44375
1618271831.338052,1722499.000,45282,2,AK,1,100,RD
1618271831.363849,1722524.000,45284,2,AK,1,100,45280
1618271831.389647,1722549.000,45284,2,AK,1,100,RD
1618271834.008630,1725087.000,46186,2,AK,1,100,45280
1618271836.627613,1727625.000,46186,2,AK,1,100,RD
1618271836.638448,1727635.500,46188,2,AK,1,100,46184
1618271836.649283,1727646.000,46188,2,AK,1,100,RD
1618271839.284261,1730199.500,47087,2,AK,1,100,46184
1618271841.919239,1732753.000,47087,2,AK,1,100,RD
1618271841.925430,1732759.000,47089,2,AK,1,100,47085
1618271841.931622,1732765.000,47089,2,AK,1,100,RD
1618271844.565051,1735317.000,47990,2,AK,1,100,47085
1618271847.198481,1737869.000,47990,2,AK,1,100,RD
1618271847.228922,1737898.500,47992,2,AK,1,100,47988
1618271847.259364,1737928.000,47992,2,AK,1,100,RD
1618271849.870092,1740458.000,48896,2,AK,1,100,47988
1618271852.480819,1742988.000,48896,2,AK,1,100,RD
1618271852.487527,1742994.500,48898,2,AK,1,100,48894
1618271852.494234,1743001.000,48898,2,AK,1,100,RD
1618271855.137983,1745563.000,49800,2,AK,1,100,48894
1618271857.781732,1748125.000,49800,2,AK,1,100,RD
1618271857.791019,1748134.000,49802,2,AK,1,100,49798
1618271857.800307,1748143.000,49802,2,AK,1,100,RD
