EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1618271623.672709,1521255.000,9624,2,GZ,1,100,0.458
1618271623.717081,1521298.000,9643,3,GZ,1,100,-0.946
1618271623.761453,1521341.000,9643,3,GZ,1,100,-0.946
1618271623.805825,1521384.000,9643,3,GZ,1,100,-2.380
1618271623.844694,1521421.667,9662,3,GZ,1,100,-1.404
1618271623.883562,1521459.333,9662,3,GZ,1,100,1.129
1618271623.922431,1521497.000,9662,3,GZ,1,100,0.336
1618271623.964223,1521537.500,9680,2,GZ,1,100,-1.923
1618271624.006015,1521578.000,9680,2,GZ,1,100,-2.899
1618271624.044884,1521615.667,9698,3,GZ,1,100,-2.258
1618271624.083752,1521653.333,9698,3,GZ,1,100,-1.465
1618271624.122621,1521691.000,9698,3,GZ,1,100,0.427
1618271624.161489,1521728.667,9715,3,GZ,1,100,1.068
1618271624.200358,1521766.333,9715,3,GZ,1,100,-1.312
1618271624.239227,1521804.000,9715,3,GZ,1,100,-1.801
1618271624.277751,1521841.333,9733,3,GZ,1,100,-2.594
1618271624.316276,1521878.667,9733,3,GZ,1,100,-0.305
1618271624.354800,1521916.000,9733,3,GZ,1,100,0.397
1618271624.396593,1521956.500,9751,2,GZ,1,100,1.221
1618271624.438385,1521997.000,9751,2,GZ,1,100,-0.366
1618271624.482413,1522039.667,9770,3,GZ,1,100,-1.038
1618271624.526441,1522082.333,9770,3,GZ,1,100,-1.160
1618271624.570469,1522125.000,9770,3,GZ,1,100,-0.031
1618271624.604006,1522157.500,9787,2,GZ,1,100,0.397
1618271624.637543,1522190.000,9787,2,GZ,1,100,-0.793
1618271624.682259,1522233.333,9804,3,GZ,1,100,-1.251
1618271624.726975,1522276.667,9804,3,GZ,1,100,-0.702
1618271624.771691,1522320.000,9804,3,GZ,1,100,-2.838
1618271624.812968,1522360.000,9828,2,GZ,1,100,-1.892
1618271624.854244,1522400.000,9828,2,GZ,1,100,-0.732
1618271624.892768,1522437.333,9847,3,GZ,1,100,0.946
1618271624.931293,1522474.667,9847,3,GZ,1,100,1.465
1618271624.969818,1522512.000,9847,3,GZ,1,100,0.336
1618271625.008686,1522549.667,9865,3,GZ,1,100,0.061
1618271625.047555,1522587.333,9865,3,GZ,1,100,-0.610
1618271625.086423,1522625.000,9865,3,GZ,1,100,-0.427
1618271625.128731,1522666.000,9883,2,GZ,1,100,-1.526
1618271625.171040,1522707.000,9883,2,GZ,1,100,-1.282
1618271625.209908,1522744.667,9899,3,GZ,1,100,-0.214
1618271625.248777,1522782.333,9899,3,GZ,1,100,0.183
1618271625.287645,1522820.000,9899,3,GZ,1,100,-0.549
1618271625.328922,1522860.000,9918,2,GZ,1,100,-1.038
1618271625.370198,1522900.000,9918,2,GZ,1,100,-1.129
1618271625.409067,1522937.667,9936,3,GZ,1,100,0.793
1618271625.447935,1522975.333,9936,3,GZ,1,100,0.305
1618271625.486804,1523013.000,9936,3,GZ,1,100,-0.916
1618271625.528596,1523053.500,9954,2,GZ,1,100,-1.434
1618271625.570388,1523094.000,9954,2,GZ,1,100,-0.916
1618271625.614416,1523136.667,9971,3,GZ,1,100,-1.953
1618271625.658444,1523179.333,9971,3,GZ,1,100,-11.871
1618271625.702472,1523222.000,9971,3,GZ,1,100,-14.832
1618271625.741341,1523259.667,9990,3,GZ,1,100,-7.935
1618271625.780210,1523297.333,9990,3,GZ,1,100,-0.214
