EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1618272338.459038,2213939.000,936,1,B%,1,100,16
1618272339.454830,2214904.000,1104,1,B%,1,100,16
1618272340.456813,2215875.000,1283,1,B%,1,100,16
1618272341.455700,2216843.000,1446,1,B%,1,100,16
1618272342.454587,2217811.000,1625,1,B%,1,100,16
1618272343.453475,2218779.000,1803,1,B%,1,100,16
1618272344.452362,2219747.000,1965,1,B%,1,100,16
1618272345.450217,2220714.000,2134,1,B%,1,100,16
1618272346.448072,2221681.000,2314,1,B%,1,100,16
1618272347.447991,2222650.000,2475,1,B%,1,100,16
1618272348.444815,2223616.000,2655,1,B%,1,100,16
1618272349.442670,2224583.000,2817,1,B%,1,100,16
1618272350.440525,2225550.000,3002,1,B%,1,100,16
1618272351.439412,2226518.000,3163,1,B%,1,100,16
1618272352.435204,2227483.000,3343,1,B%,1,100,16
1618272353.433059,2228450.000,3505,1,B%,1,100,16
1618272354.431946,2229418.000,3684,1,B%,1,100,16
1618272355.432897,2230388.000,3849,1,B%,1,100,16
1618272356.431784,2231356.000,4011,1,B%,1,100,15
1618272357.430671,2232324.000,4191,1,B%,1,100,16
1618272358.430591,2233293.000,4371,1,B%,1,100,16
1618272359.426382,2234258.000,4532,1,B%,1,100,16
1618272360.425269,2235226.000,4717,1,B%,1,100,16
1618272361.423125,2236193.000,4879,1,B%,1,100,16
1618272362.423044,2237162.000,5059,1,B%,1,100,16
1618272363.418835,2238127.000,5220,1,B%,1,100,16
1618272364.419786,2239097.000,5400,1,B%,1,100,16
1618272365.416610,2240063.000,5562,1,B%,1,100,15
1618272366.417561,2241033.000,5730,1,B%,1,100,15
1618272367.413352,2241998.000,5908,1,B%,1,100,16
1618272368.412239,2242966.000,6069,1,B%,1,100,16
1618272369.408031,2243931.000,6249,1,B%,1,100,16
1618272370.410013,2244902.000,6411,1,B%,1,100,16
1618272371.407869,2245869.000,6596,1,B%,1,100,17
1618272372.406756,2246837.000,6757,1,B%,1,100,16
1618272373.404611,2247804.000,6937,1,B%,1,100,15
1618272374.403498,2248772.000,7099,1,B%,1,100,16
1618272375.399290,2249737.000,7279,1,B%,1,100,16
1618272376.397145,2250704.000,7445,1,B%,1,100,16
1618272377.397064,2251673.000,7625,1,B%,1,100,16
1618272378.393888,2252639.000,7805,1,B%,1,100,16
1618272379.392775,2253607.000,7967,1,B%,1,100,15
1618272380.390630,2254574.000,8147,1,B%,1,100,16
1618272381.391581,2255544.000,8308,1,B%,1,100,16
1618272382.387372,2256509.000,8493,1,B%,1,100,16
1618272383.386260,2257477.000,8655,1,B%,1,100,16
1618272384.385147,2258445.000,8835,1,B%,1,100,16
1618272385.386098,2259415.000,8996,1,B%,1,100,16
1618272386.382921,2260381.000,9175,1,B%,1,100,16
1618272387.381808,2261349.000,9343,1,B%,1,100,16
1618272388.379664,2262316.000,9522,1,B%,1,100,16
1618272389.376487,2263282.000,9684,1,B%,1,100,15
1618272390.373310,2264248.000,9863,1,B%,1,100,16
1618272391.373230,2265217.000,10026,1,B%,1,100,16
1618272392.373148,2266186.000,10211,1,B%,1,100,16
1618272393.369972,2267152.000,10372,1,B%,1,100,16
1618272394.371955,2268123.000,10551,1,B%,1,100,16
1618272395.369810,2269090.000,10714,1,B%,1,100,16
1618272396.370761,2270060.000,10893,1,B%,1,100,16
1618272397.366553,2271025.000,11055,1,B%,1,100,16
1618272398.365440,2271993.000,11239,1,B%,1,100,15
1618272399.360199,2272957.000,11402,1,B%,1,100,15
1618272400.361150,2273927.000,11581,1,B%,1,100,16
1618272401.357974,2274893.000,11743,1,B%,1,100,16
1618272402.356861,2275861.000,11922,1,B%,1,100,16
1618272403.353684,2276827.000,12106,1,B%,1,100,16
1618272404.353603,2277796.000,12269,1,B%,1,100,15
1618272405.349395,2278761.000,12447,1,B%,1,100,16
1618272406.349314,2279730.000,12609,1,B%,1,100,15
1618272407.349233,2280699.000,12788,1,B%,1,100,15
1618272408.348120,2281667.000,12955,1,B%,1,100,15
1618272409.347007,2282635.000,13135,1,B%,1,100,15
1618272410.345894,2283603.000,13296,1,B%,1,100,16
1618272411.343750,2284570.000,13477,1,B%,1,100,16
1618272412.339541,2285535.000,13639,1,B%,1,100,16
1618272413.337396,2286502.000,13819,1,B%,1,100,15
1618272414.335252,2287469.000,14004,1,B%,1,100,16
1618272415.335171,2288438.000,14165,1,B%,1,100,16
1618272416.331994,2289404.000,14345,1,B%,1,100,16
1618272417.332945,2290374.000,14507,1,B%,1,100,15
1618272418.330800,2291341.000,14686,1,B%,1,100,15
1618272419.329688,2292309.000,14870,1,B%,1,100,15
1618272420.326511,2293275.000,15032,1,B%,1,100,15
1618272421.326430,2294244.000,15210,1,B%,1,100,15
1618272422.325317,2295212.000,15373,1,B%,1,100,15
1618272423.323172,2296179.000,15552,1,B%,1,100,16
1618272424.323092,2297148.000,15718,1,B%,1,100,16
1618272425.320947,2298115.000,15898,1,B%,1,100,15
1618272426.318802,2299082.000,16060,1,B%,1,100,16
1618272427.314594,2300047.000,16240,1,B%,1,100,16
1618272428.312449,2301014.000,16401,1,B%,1,100,15
1618272429.308240,2301979.000,16581,1,B%,1,100,14
1618272430.309191,2302949.000,16766,1,B%,1,100,15
1618272431.307046,2303916.000,16928,1,B%,1,100,15
1618272432.307997,2304886.000,17108,1,B%,1,100,15
1618272433.305853,2305853.000,17269,1,B%,1,100,15
1618272434.305772,2306822.000,17449,1,B%,1,100,15
1618272435.299500,2307785.000,17616,1,B%,1,100,15
1618272436.298387,2308753.000,17796,1,B%,1,100,15
1618272437.296242,2309720.000,17957,1,B%,1,100,15
1618272438.294097,2310687.000,18138,1,B%,1,100,15
1618272439.290920,2311653.000,18300,1,B%,1,100,15
1618272440.291872,2312623.000,18484,1,B%,1,100,15
1618272441.288695,2313589.000,18646,1,B%,1,100,14
1618272442.286550,2314556.000,18825,1,B%,1,100,14
1618272443.284405,2315523.000,18988,1,B%,1,100,14
1618272444.284325,2316492.000,19167,1,B%,1,100,14
1618272445.283212,2317460.000,19334,1,B%,1,100,14
1618272446.281067,2318427.000,19513,1,B%,1,100,15
1618272447.279954,2319395.000,19676,1,B%,1,100,14
1618272448.278841,2320363.000,19855,1,B%,1,100,14
1618272449.275665,2321329.000,20033,1,B%,1,100,15
1618272450.270424,2322293.000,20196,1,B%,1,100,14
1618272451.269311,2323261.000,20379,1,B%,1,100,15
1618272452.267167,2324228.000,20541,1,B%,1,100,15
1618272453.266054,2325196.000,20721,1,B%,1,100,15
1618272454.264941,2326164.000,20882,1,B%,1,100,15
