RD,TS_received,TS_sent,AK,RoundTrip,
1978830,1978840,2021-04-12_17-01-30-764073,1978861,2021-04-12_17-01-35-864856,1978864,31,
1983984,1984004,2021-04-12_17-01-35-982543,1984042,2021-04-12_17-01-41-210364,1984048,58,
1989092,1989103,2021-04-12_17-01-41-302331,1989121,2021-04-12_17-01-46-454539,1989124,29,
1994224,1994236,2021-04-12_17-01-46-516033,1994255,2021-04-12_17-01-51-756346,1994258,31,
1999332,1999352,2021-04-12_17-01-51-863215,1999410,2021-04-12_17-01-57-082374,1999413,78,
2004440,2004455,2021-04-12_17-01-57-183770,2004474,2021-04-12_17-02-02-298891,2004477,34,
2009594,2009605,2021-04-12_17-02-02-402149,2009625,2021-04-12_17-02-07-616168,2009627,31,
2014741,2014754,2021-04-12_17-02-07-726686,2014771,2021-04-12_17-02-12-927924,2014774,30,
2019849,2019859,2021-04-12_17-02-13-062300,2019880,2021-04-12_17-02-18-193400,2019883,31,
2025002,2025013,2021-04-12_17-02-18-276545,2025033,2021-04-12_17-02-23-517808,2025037,31,
2030142,2030158,2021-04-12_17-02-23-701081,2030177,2021-04-12_17-02-28-824333,2030180,35,
2035286,2035307,2021-04-12_17-02-28-961593,2035333,2021-04-12_17-02-34-148822,2035336,47,
2040410,2040431,2021-04-12_17-02-34-280194,2040498,2021-04-12_17-02-39-476832,2040501,88,
2045555,2045567,2021-04-12_17-02-39-572132,2045586,2021-04-12_17-02-44-723890,2045589,31,
2050670,2050681,2021-04-12_17-02-44-900952,2050701,2021-04-12_17-02-50-000499,2050704,31,
2055779,2055792,2021-04-12_17-02-50-146070,2055810,2021-04-12_17-02-55-273210,2055813,31,
2060902,2060916,2021-04-12_17-02-55-448256,2060934,2021-04-12_17-03-00-570366,2060937,32,
2066051,2066069,2021-04-12_17-03-00-774941,2066088,2021-04-12_17-03-05-890380,2066091,37,
2071184,2071207,2021-04-12_17-03-06-025165,2071249,2021-04-12_17-03-11-218324,2071252,65,
2076323,2076343,2021-04-12_17-03-11-321726,2076417,2021-04-12_17-03-16-545843,2076420,94,
2081447,2081465,2021-04-12_17-03-16-646680,2081483,2021-04-12_17-03-21-767322,2081486,36,
2086594,2086607,2021-04-12_17-03-21-908871,2086625,2021-04-12_17-03-27-072284,2086628,31,
2091705,2091727,2021-04-12_17-03-27-224416,2091795,2021-04-12_17-03-32-419228,2091798,90,
2096821,2096837,2021-04-12_17-03-32-512791,2096856,2021-04-12_17-03-37-633045,2096859,35,
2101936,2101957,2021-04-12_17-03-37-844725,2102015,2021-04-12_17-03-42-968070,2102018,79,
2107045,2107060,2021-04-12_17-03-43-065854,2107080,2021-04-12_17-03-48-184721,2107082,35,
2112192,2112208,2021-04-12_17-03-48-390257,2112229,2021-04-12_17-03-53-505029,2112232,37,
2117322,2117342,2021-04-12_17-03-53-646642,2117398,2021-04-12_17-03-58-837022,2117401,76,
2122474,2122487,2021-04-12_17-03-58-936150,2122504,2021-04-12_17-04-04-096709,2122508,30,
2127605,2127617,2021-04-12_17-04-04-257479,2127635,2021-04-12_17-04-09-395790,2127638,30,
2132719,2132741,2021-04-12_17-04-09-582999,2132776,2021-04-12_17-04-14-707034,2132779,57,
2137831,2137844,2021-04-12_17-04-14-819496,2137862,2021-04-12_17-04-19-945990,2137865,31,
2142963,2142979,2021-04-12_17-04-20-128946,2142998,2021-04-12_17-04-25-248930,2143001,35,
2148093,2148114,2021-04-12_17-04-25-400604,2148154,2021-04-12_17-04-30-579735,2148157,61,
2153232,2153245,2021-04-12_17-04-30-693379,2153264,2021-04-12_17-04-35-838030,2153267,32,
2158348,2158360,2021-04-12_17-04-36-000716,2158379,2021-04-12_17-04-41-122049,2158382,31,
2163489,2163510,2021-04-12_17-04-41-264949,2163535,2021-04-12_17-04-46-451482,2163539,46,
2168599,2168620,2021-04-12_17-04-46-573532,2168690,2021-04-12_17-04-51-775039,2168693,91,
2173732,2173746,2021-04-12_17-04-51-878740,2173767,2021-04-12_17-04-56-997865,2173769,35,
2178859,2178879,2021-04-12_17-04-57-203751,2178919,2021-04-12_17-05-02-325117,2178922,60,
2183990,2184011,2021-04-12_17-05-07-577552,2184021,21,
2189112,2189132,2021-04-12_17-05-07-750973,2189151,2021-04-12_17-05-12-872744,2189154,39,
