EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,ER
1618271626.083247,1523591.000,10036,1,ER,1,100,1.643285
1618271626.149805,1523655.500,10054,2,ER,1,100,1.642600
1618271626.216363,1523720.000,10054,2,ER,1,100,1.642237
1618271626.281373,1523783.000,10070,1,ER,1,100,1.643567
1618271626.348963,1523848.500,10089,2,ER,1,100,1.642237
1618271626.416553,1523914.000,10089,2,ER,1,100,1.642922
1618271626.483627,1523979.000,10107,1,ER,1,100,1.642681
1618271626.549669,1524043.000,10126,2,ER,1,100,1.643809
1618271626.615711,1524107.000,10126,2,ER,1,100,1.642842
1618271626.681753,1524171.000,10143,1,ER,1,100,1.643124
1618271626.748312,1524235.500,10161,2,ER,1,100,1.643728
1618271626.814870,1524300.000,10161,2,ER,1,100,1.644816
1618271626.881428,1524364.500,10179,2,ER,1,100,1.644373
1618271626.947986,1524429.000,10179,2,ER,1,100,1.643607
1618271627.015060,1524494.000,10198,1,ER,1,100,1.640666
1618271627.081618,1524558.500,10215,2,ER,1,100,1.638651
1618271627.148176,1524623.000,10215,2,ER,1,100,1.636032
1618271627.213186,1524686.000,10232,1,ER,1,100,1.634380
1618271627.279744,1524750.500,10250,2,ER,1,100,1.632204
1618271627.346302,1524815.000,10250,2,ER,1,100,1.630190
1618271627.413376,1524880.000,10269,1,ER,1,100,1.628256
1618271627.479934,1524944.500,10287,2,ER,1,100,1.629625
1618271627.546493,1525009.000,10287,2,ER,1,100,1.629666
1618271627.613051,1525073.500,10305,2,ER,1,100,1.629102
1618271627.679609,1525138.000,10305,2,ER,1,100,1.629182
1618271627.745651,1525202.000,10322,1,ER,1,100,1.631922
1618271627.811177,1525265.500,10341,2,ER,1,100,1.629223
1618271627.876703,1525329.000,10341,2,ER,1,100,1.629102
1618271627.943777,1525394.000,10359,1,ER,1,100,1.627692
1618271628.011367,1525459.500,10377,2,ER,1,100,1.625193
1618271628.078957,1525525.000,10377,2,ER,1,100,1.620721
1618271628.143967,1525588.000,10394,1,ER,1,100,1.615523
1618271628.210526,1525652.500,10412,2,ER,1,100,1.612058
1618271628.277084,1525717.000,10412,2,ER,1,100,1.605248
1618271628.344158,1525782.000,10430,2,ER,1,100,1.597069
1618271628.411232,1525847.000,10430,2,ER,1,100,1.586472
1618271628.478306,1525912.000,10449,1,ER,1,100,1.577527
1618271628.545896,1525977.500,10466,2,ER,1,100,1.568622
