EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1618271620.814323,1518485.000,9134,1,TH,1,100,35.180
1618271620.948471,1518615.000,9152,1,TH,1,100,35.181
1618271621.082619,1518745.000,9170,1,TH,1,100,35.209
1618271621.214704,1518873.000,9205,1,TH,1,100,35.209
1618271621.349884,1519004.000,9224,1,TH,1,100,35.145
1618271621.481968,1519132.000,9241,1,TH,1,100,35.152
1618271621.616116,1519262.000,9260,1,TH,1,100,35.223
1618271621.749232,1519391.000,9296,1,TH,1,100,35.223
1618271621.881316,1519519.000,9313,1,TH,1,100,35.124
1618271622.016496,1519650.000,9332,1,TH,1,100,35.124
1618271622.147549,1519777.000,9350,1,TH,1,100,35.134
1618271622.281697,1519907.000,9384,1,TH,1,100,35.134
1618271622.414813,1520036.000,9403,1,TH,1,100,35.223
1618271622.547929,1520165.000,9421,1,TH,1,100,35.223
1618271622.681045,1520294.000,9456,1,TH,1,100,35.193
1618271622.814161,1520423.000,9475,1,TH,1,100,35.200
1618271622.948309,1520553.000,9493,1,TH,1,100,35.113
1618271623.081426,1520682.000,9512,1,TH,1,100,35.113
1618271623.215574,1520812.000,9547,1,TH,1,100,35.139
1618271623.348690,1520941.000,9564,1,TH,1,100,35.139
1618271623.480774,1521069.000,9583,1,TH,1,100,35.162
1618271623.613890,1521198.000,9618,1,TH,1,100,35.161
1618271623.745975,1521326.000,9636,1,TH,1,100,35.177
1618271623.880122,1521456.000,9655,1,TH,1,100,35.177
1618271624.012207,1521584.000,9673,1,TH,1,100,35.169
1618271624.146355,1521714.000,9708,1,TH,1,100,35.169
1618271624.279471,1521843.000,9727,1,TH,1,100,35.219
1618271624.411555,1521971.000,9744,1,TH,1,100,35.219
1618271624.544672,1522100.000,9763,1,TH,1,100,35.232
1618271624.678819,1522230.000,9798,1,TH,1,100,35.232
1618271624.811936,1522359.000,9821,1,TH,1,100,35.171
1618271624.944020,1522487.000,9840,1,TH,1,100,35.178
1618271625.077136,1522616.000,9858,1,TH,1,100,35.218
1618271625.210252,1522745.000,9893,1,TH,1,100,35.218
1618271625.343369,1522874.000,9911,1,TH,1,100,35.125
1618271625.477516,1523004.000,9929,1,TH,1,100,35.125
1618271625.609601,1523132.000,9964,1,TH,1,100,35.122
1618271625.742717,1523261.000,9984,1,TH,1,100,35.122
1618271625.874801,1523389.000,10001,1,TH,1,100,35.158
1618271626.006886,1523517.000,10020,1,TH,1,100,35.158
1618271626.141033,1523647.000,10055,1,TH,1,100,35.203
1618271626.272086,1523774.000,10072,1,TH,1,100,35.203
1618271626.407266,1523905.000,10091,1,TH,1,100,35.178
1618271626.539350,1524033.000,10109,1,TH,1,100,35.185
1618271626.672466,1524162.000,10144,1,TH,1,100,35.187
1618271626.806614,1524292.000,10163,1,TH,1,100,35.187
1618271626.938699,1524420.000,10181,1,TH,1,100,35.162
1618271627.072847,1524550.000,10216,1,TH,1,100,35.162
1618271627.203899,1524677.000,10234,1,TH,1,100,35.126
1618271627.337015,1524806.000,10252,1,TH,1,100,35.126
1618271627.470131,1524935.000,10271,1,TH,1,100,35.258
1618271627.602216,1525063.000,10306,1,TH,1,100,35.258
1618271627.736364,1525193.000,10324,1,TH,1,100,35.220
1618271627.868448,1525321.000,10343,1,TH,1,100,35.220
1618271628.002596,1525451.000,10378,1,TH,1,100,35.194
1618271628.134680,1525579.000,10396,1,TH,1,100,35.194
1618271628.267796,1525708.000,10414,1,TH,1,100,35.235
1618271628.401944,1525838.000,10432,1,TH,1,100,35.235
1618271628.535061,1525967.000,10467,1,TH,1,100,35.152
1618271628.670241,1526098.000,10485,1,TH,1,100,35.159
1618271628.801293,1526225.000,10504,1,TH,1,100,35.194
1618271628.934409,1526354.000,10523,1,TH,1,100,35.194
1618271629.068557,1526484.000,10558,1,TH,1,100,35.242
1618271629.200641,1526612.000,10575,1,TH,1,100,35.242
1618271629.333758,1526741.000,10594,1,TH,1,100,35.117
1618271629.465842,1526869.000,10612,1,TH,1,100,35.117
1618271629.598958,1526998.000,10647,1,TH,1,100,35.242
1618271629.733106,1527128.000,10666,1,TH,1,100,35.242
1618271629.866222,1527257.000,10684,1,TH,1,100,35.151
1618271630.000370,1527387.000,10703,1,TH,1,100,35.151
1618271630.132455,1527515.000,10727,1,TH,1,100,35.158
1618271630.266603,1527645.000,10745,1,TH,1,100,35.165
1618271630.398687,1527773.000,10780,1,TH,1,100,35.236
1618271630.532835,1527903.000,10799,1,TH,1,100,35.229
1618271630.664919,1528031.000,10816,1,TH,1,100,35.229
1618271630.799067,1528161.000,10836,1,TH,1,100,35.236
1618271630.933215,1528291.000,10871,1,TH,1,100,35.211
1618271631.064268,1528418.000,10888,1,TH,1,100,35.211
1618271631.197384,1528547.000,10907,1,TH,1,100,35.283
1618271631.331532,1528677.000,10943,1,TH,1,100,35.283
1618271631.463616,1528805.000,10960,1,TH,1,100,35.263
1618271631.596732,1528934.000,10978,1,TH,1,100,35.263
1618271631.728817,1529062.000,10996,1,TH,1,100,35.162
1618271631.862965,1529192.000,11032,1,TH,1,100,35.162
1618271631.996081,1529321.000,11051,1,TH,1,100,35.199
1618271632.130229,1529451.000,11068,1,TH,1,100,35.199
1618271632.264377,1529581.000,11087,1,TH,1,100,35.144
1618271632.398525,1529711.000,11122,1,TH,1,100,35.151
1618271632.531641,1529840.000,11139,1,TH,1,100,35.113
1618271632.663726,1529968.000,11158,1,TH,1,100,35.113
1618271632.797873,1530098.000,11194,1,TH,1,100,35.225
1618271632.928926,1530225.000,11212,1,TH,1,100,35.225
1618271633.063074,1530355.000,11230,1,TH,1,100,35.154
1618271633.195158,1530483.000,11248,1,TH,1,100,35.154
1618271633.326210,1530610.000,11283,1,TH,1,100,35.267
1618271633.460359,1530740.000,11301,1,TH,1,100,35.267
1618271633.592443,1530868.000,11319,1,TH,1,100,35.306
1618271633.726591,1530998.000,11338,1,TH,1,100,35.306
1618271633.859707,1531127.000,11374,1,TH,1,100,35.178
1618271633.992823,1531256.000,11391,1,TH,1,100,35.178
1618271634.126971,1531386.000,11410,1,TH,1,100,35.197
1618271634.258024,1531513.000,11445,1,TH,1,100,35.204
1618271634.392172,1531643.000,11463,1,TH,1,100,35.160
1618271634.525288,1531772.000,11481,1,TH,1,100,35.160
