EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1618271884.209934,1773736.000,54128,1,TL,1,100,2021-04-12_16-57-59-102272
1618271884.230572,1773756.000,54130,1,TL,1,100,2021-04-12_16-58-04-221721
1618271889.480922,1778844.000,55033,1,TL,1,100,2021-04-12_16-58-04-426939
1618271889.547996,1778909.000,55035,1,TL,1,100,2021-04-12_16-58-09-548525
1618271894.789057,1783988.000,55937,1,TL,1,100,2021-04-12_16-58-09-645504
1618271894.807632,1784006.000,55939,1,TL,1,100,2021-04-12_16-58-14-800400
1618271900.078619,1789114.000,56839,1,TL,1,100,2021-04-12_16-58-14-974074
1618271900.097193,1789132.000,56841,1,TL,1,100,2021-04-12_16-58-20-096226
1618271905.369213,1794241.000,57743,1,TL,1,100,2021-04-12_16-58-20-295723
1618271905.409457,1794280.000,57745,1,TL,1,100,2021-04-12_16-58-25-419087
1618271910.672189,1799380.000,58648,1,TL,1,100,2021-04-12_16-58-25-524052
1618271910.747519,1799453.000,58650,1,TL,1,100,2021-04-12_16-58-30-745096
1618271915.944208,1804489.000,59552,1,TL,1,100,2021-04-12_16-58-30-825386
1618271915.967942,1804512.000,59554,1,TL,1,100,2021-04-12_16-58-35-966594
1618271921.227579,1809609.000,60455,1,TL,1,100,2021-04-12_16-58-36-105233
1618271921.291557,1809671.000,60457,1,TL,1,100,2021-04-12_16-58-41-293885
1618271926.518172,1814736.000,61358,1,TL,1,100,2021-04-12_16-58-41-395254
1618271926.536747,1814754.000,61360,1,TL,1,100,2021-04-12_16-58-46-531738
1618271931.829404,1819883.000,62263,1,TL,1,100,2021-04-12_16-58-46-720475
1618271931.849010,1819902.000,62265,1,TL,1,100,2021-04-12_16-58-51-843609
1618271937.109678,1825000.000,63167,1,TL,1,100,2021-04-12_16-58-52-043167
1618271937.155082,1825044.000,63169,1,TL,1,100,2021-04-12_16-58-57-160318
1618271942.422974,1830149.000,64070,1,TL,1,100,2021-04-12_16-58-57-270991
1618271942.483856,1830208.000,64072,1,TL,1,100,2021-04-12_16-59-02-489813
1618271947.713567,1835276.000,64972,1,TL,1,100,2021-04-12_16-59-02-586051
1618271947.734205,1835296.000,64974,1,TL,1,100,2021-04-12_16-59-07-726223
1618271953.000033,1840399.000,339,1,TL,1,100,2021-04-12_16-59-07-870916
1618271953.034086,1840432.000,341,1,TL,1,100,2021-04-12_16-59-13-031304
1618271958.263797,1845500.000,1243,1,TL,1,100,2021-04-12_16-59-13-098019
1618271958.282372,1845518.000,1245,1,TL,1,100,2021-04-12_16-59-18-274964
1618271963.583284,1850655.000,2164,1,TL,1,100,2021-04-12_16-59-18-345474
1618271963.601859,1850673.000,2166,1,TL,1,100,2021-04-12_16-59-23-595305
1618271968.902771,1855810.000,3083,1,TL,1,100,2021-04-12_16-59-23-684968
1618271968.921346,1855828.000,3085,1,TL,1,100,2021-04-12_16-59-28-913715
1618271974.183046,1860927.000,3991,1,TL,1,100,2021-04-12_16-59-29-010424
1618271974.228450,1860971.000,3993,1,TL,1,100,2021-04-12_16-59-34-231718
1618271979.441650,1866023.000,4893,1,TL,1,100,2021-04-12_16-59-34-329769
1618271979.466416,1866047.000,4895,1,TL,1,100,2021-04-12_16-59-39-456521
1618271984.758041,1871175.000,5814,1,TL,1,100,2021-04-12_16-59-39-558549
1618271984.782807,1871199.000,5816,1,TL,1,100,2021-04-12_16-59-44-774921
1618271990.097135,1876349.000,6734,1,TL,1,100,2021-04-12_16-59-44-838931
1618271990.115709,1876367.000,6736,1,TL,1,100,2021-04-12_16-59-50-106849
1618271995.409398,1881497.000,7657,1,TL,1,100,2021-04-12_16-59-50-174931
1618271995.427973,1881515.000,7659,1,TL,1,100,2021-04-12_16-59-55-424797
1618272000.675226,1886600.000,8560,1,TL,1,100,2021-04-12_16-59-55-532254
1618272000.693800,1886618.000,8562,1,TL,1,100,2021-04-12_17-00-00-679699
1618272005.974075,1891735.000,9480,1,TL,1,100,2021-04-12_17-00-00-753784
1618272005.993681,1891754.000,9482,1,TL,1,100,2021-04-12_17-00-05-981916
1618272011.244030,1896842.000,10384,1,TL,1,100,2021-04-12_17-00-06-053500
1618272011.263637,1896861.000,10386,1,TL,1,100,2021-04-12_17-00-11-254235
1618272016.554230,1901988.000,11304,1,TL,1,100,2021-04-12_17-00-11-399969
1618272016.633687,1902065.000,11306,1,TL,1,100,2021-04-12_17-00-16-626849
1618272021.825217,1907096.000,12207,1,TL,1,100,2021-04-12_17-00-16-729456
1618272021.856175,1907126.000,12209,1,TL,1,100,2021-04-12_17-00-21-843910
1618272027.096205,1912204.000,13110,1,TL,1,100,2021-04-12_17-00-21-946195
1618272027.114779,1912222.000,13112,1,TL,1,100,2021-04-12_17-00-27-103039
1618272032.412596,1917356.000,14031,1,TL,1,100,2021-04-12_17-00-27-271844
1618272032.431170,1917374.000,14033,1,TL,1,100,2021-04-12_17-00-32-422395
