EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1618271635.427176,1532646.000,11646,1,T0,1,100,33.974
1618271635.559260,1532774.000,11665,1,T0,1,100,33.969
1618271635.693408,1532904.000,11683,1,T0,1,100,33.958
1618271635.826524,1533033.000,11702,1,T0,1,100,33.980
1618271635.960672,1533163.000,11737,1,T0,1,100,33.980
1618271636.093788,1533292.000,11755,1,T0,1,100,33.996
1618271636.226905,1533421.000,11774,1,T0,1,100,33.996
1618271636.362085,1533552.000,11808,1,T0,1,100,33.980
1618271636.494169,1533680.000,11826,1,T0,1,100,33.990
1618271636.628317,1533810.000,11845,1,T0,1,100,33.985
1618271636.760401,1533938.000,11864,1,T0,1,100,33.996
1618271636.893517,1534067.000,11898,1,T0,1,100,33.980
1618271637.026634,1534196.000,11917,1,T0,1,100,33.990
1618271637.158718,1534324.000,11935,1,T0,1,100,33.958
1618271637.291834,1534453.000,11970,1,T0,1,100,34.007
1618271637.424950,1534582.000,11988,1,T0,1,100,33.985
1618271637.559098,1534712.000,12006,1,T0,1,100,33.996
1618271637.691182,1534840.000,12025,1,T0,1,100,33.990
1618271637.825330,1534970.000,12060,1,T0,1,100,34.007
1618271637.959479,1535100.000,12078,1,T0,1,100,34.028
1618271638.092595,1535229.000,12097,1,T0,1,100,33.996
1618271638.226743,1535359.000,12132,1,T0,1,100,34.023
1618271638.358827,1535487.000,12149,1,T0,1,100,34.023
1618271638.491943,1535616.000,12168,1,T0,1,100,33.990
1618271638.626091,1535746.000,12186,1,T0,1,100,33.985
1618271638.758176,1535874.000,12221,1,T0,1,100,34.001
1618271638.892324,1536004.000,12240,1,T0,1,100,34.012
1618271639.025440,1536133.000,12258,1,T0,1,100,34.007
1618271639.157524,1536261.000,12277,1,T0,1,100,33.969
1618271639.290640,1536390.000,12311,1,T0,1,100,34.023
1618271639.423756,1536519.000,12329,1,T0,1,100,34.023
