EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1618271618.513168,1516255.000,8743,2,MZ,1,100,-36
1618271618.552036,1516292.667,8760,3,MZ,1,100,-37
1618271618.590905,1516330.333,8760,3,MZ,1,100,-35
1618271618.629773,1516368.000,8760,3,MZ,1,100,-36
1618271618.668642,1516405.667,8778,3,MZ,1,100,-36
1618271618.707510,1516443.333,8778,3,MZ,1,100,-35
1618271618.746379,1516481.000,8778,3,MZ,1,100,-36
1618271618.788171,1516521.500,8798,2,MZ,1,100,-36
1618271618.829964,1516562.000,8798,2,MZ,1,100,-36
1618271618.868832,1516599.667,8816,3,MZ,1,100,-36
1618271618.907701,1516637.333,8816,3,MZ,1,100,-34
1618271618.946569,1516675.000,8816,3,MZ,1,100,-35
1618271618.987846,1516715.000,8834,2,MZ,1,100,-36
1618271619.029122,1516755.000,8834,2,MZ,1,100,-36
1618271619.073494,1516798.000,8850,3,MZ,1,100,-37
1618271619.117866,1516841.000,8850,3,MZ,1,100,-35
1618271619.162238,1516884.000,8850,3,MZ,1,100,-36
1618271619.200419,1516921.000,8869,3,MZ,1,100,-36
1618271619.238599,1516958.000,8869,3,MZ,1,100,-36
1618271619.276780,1516995.000,8869,3,MZ,1,100,-37
1618271619.318572,1517035.500,8887,2,MZ,1,100,-35
1618271619.360364,1517076.000,8887,2,MZ,1,100,-36
1618271619.399577,1517114.000,8905,3,MZ,1,100,-36
1618271619.438789,1517152.000,8905,3,MZ,1,100,-35
1618271619.478002,1517190.000,8905,3,MZ,1,100,-36
1618271619.518040,1517228.800,8928,5,MZ,1,100,-35
1618271619.558078,1517267.600,8928,5,MZ,1,100,-35
1618271619.598116,1517306.400,8928,5,MZ,1,100,-36
1618271619.638154,1517345.200,8928,5,MZ,1,100,-36
1618271619.678192,1517384.000,8928,5,MZ,1,100,-37
1618271619.728756,1517433.000,8947,1,MZ,1,100,-35
1618271619.767280,1517470.333,8964,3,MZ,1,100,-35
1618271619.805805,1517507.667,8964,3,MZ,1,100,-36
1618271619.844329,1517545.000,8964,3,MZ,1,100,-36
1618271619.882854,1517582.333,8982,3,MZ,1,100,-37
1618271619.921379,1517619.667,8982,3,MZ,1,100,-36
1618271619.959903,1517657.000,8982,3,MZ,1,100,-36
1618271620.001695,1517697.500,9000,2,MZ,1,100,-34
1618271620.043488,1517738.000,9000,2,MZ,1,100,-35
1618271620.082012,1517775.333,9019,3,MZ,1,100,-36
1618271620.120537,1517812.667,9019,3,MZ,1,100,-35
1618271620.159061,1517850.000,9019,3,MZ,1,100,-35
1618271620.200854,1517890.500,9036,2,MZ,1,100,-35
1618271620.242646,1517931.000,9036,2,MZ,1,100,-35
1618271620.281514,1517968.667,9053,3,MZ,1,100,-35
1618271620.320383,1518006.333,9053,3,MZ,1,100,-35
1618271620.359251,1518044.000,9053,3,MZ,1,100,-36
1618271620.400528,1518084.000,9071,2,MZ,1,100,-36
1618271620.441804,1518124.000,9071,2,MZ,1,100,-36
1618271620.479985,1518161.000,9090,3,MZ,1,100,-36
1618271620.518166,1518198.000,9090,3,MZ,1,100,-34
1618271620.556346,1518235.000,9090,3,MZ,1,100,-35
1618271620.601062,1518278.333,9108,3,MZ,1,100,-36
1618271620.645778,1518321.667,9108,3,MZ,1,100,-35
1618271620.690494,1518365.000,9108,3,MZ,1,100,-35
1618271620.732802,1518406.000,9127,2,MZ,1,100,-36
1618271620.775111,1518447.000,9127,2,MZ,1,100,-36
1618271620.813979,1518484.667,9143,3,MZ,1,100,-36
1618271620.852848,1518522.333,9143,3,MZ,1,100,-35
1618271620.891716,1518560.000,9143,3,MZ,1,100,-36
1618271620.930585,1518597.667,9162,3,MZ,1,100,-36
1618271620.969453,1518635.333,9162,3,MZ,1,100,-36
1618271621.008322,1518673.000,9162,3,MZ,1,100,-36
1618271621.050114,1518713.500,9180,2,MZ,1,100,-34
1618271621.091907,1518754.000,9180,2,MZ,1,100,-35
1618271621.130775,1518791.667,9198,3,MZ,1,100,-35
1618271621.169644,1518829.333,9198,3,MZ,1,100,-35
1618271621.208512,1518867.000,9198,3,MZ,1,100,-35
1618271621.249789,1518907.000,9215,2,MZ,1,100,-34
1618271621.291065,1518947.000,9215,2,MZ,1,100,-34
1618271621.330277,1518985.000,9233,3,MZ,1,100,-35
1618271621.369490,1519023.000,9233,3,MZ,1,100,-34
1618271621.408702,1519061.000,9233,3,MZ,1,100,-34
1618271621.449979,1519101.000,9251,2,MZ,1,100,-34
1618271621.491255,1519141.000,9251,2,MZ,1,100,-35
1618271621.535971,1519184.333,9270,3,MZ,1,100,-35
1618271621.580687,1519227.667,9270,3,MZ,1,100,-33
1618271621.625403,1519271.000,9270,3,MZ,1,100,-34
1618271621.658940,1519303.500,9287,2,MZ,1,100,-34
1618271621.692477,1519336.000,9287,2,MZ,1,100,-34
1618271621.736505,1519378.667,9305,3,MZ,1,100,-35
1618271621.780533,1519421.333,9305,3,MZ,1,100,-33
1618271621.824561,1519464.000,9305,3,MZ,1,100,-34
1618271621.863774,1519502.000,9323,3,MZ,1,100,-34
1618271621.902986,1519540.000,9323,3,MZ,1,100,-35
1618271621.942199,1519578.000,9323,3,MZ,1,100,-35
