EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1618271614.713682,1512573.000,8091,3,GY,1,100,1.160
1618271614.752894,1512611.000,8091,3,GY,1,100,3.174
1618271614.791419,1512648.333,8111,3,GY,1,100,0.702
1618271614.829943,1512685.667,8111,3,GY,1,100,2.869
1618271614.868468,1512723.000,8111,3,GY,1,100,-0.519
1618271614.910776,1512764.000,8129,2,GY,1,100,0.610
1618271614.953084,1512805.000,8129,2,GY,1,100,1.617
1618271614.994877,1512845.500,8147,2,GY,1,100,-0.305
1618271615.036669,1512886.000,8147,2,GY,1,100,1.709
1618271615.075193,1512923.333,8163,3,GY,1,100,1.495
1618271615.113718,1512960.667,8163,3,GY,1,100,2.350
1618271615.152243,1512998.000,8163,3,GY,1,100,2.258
1618271615.197303,1513041.667,8182,3,GY,1,100,2.533
1618271615.242362,1513085.333,8182,3,GY,1,100,2.686
1618271615.287423,1513129.000,8182,3,GY,1,100,3.967
1618271615.329215,1513169.500,8200,2,GY,1,100,0.214
1618271615.371007,1513210.000,8200,2,GY,1,100,-1.160
1618271615.409876,1513247.667,8218,3,GY,1,100,-0.946
1618271615.448744,1513285.333,8218,3,GY,1,100,1.404
1618271615.487613,1513323.000,8218,3,GY,1,100,1.923
1618271615.526481,1513360.667,8235,3,GY,1,100,1.678
1618271615.565350,1513398.333,8235,3,GY,1,100,0.366
1618271615.604218,1513436.000,8235,3,GY,1,100,-0.824
1618271615.644979,1513475.500,8253,2,GY,1,100,-0.977
1618271615.685739,1513515.000,8253,2,GY,1,100,-0.183
1618271615.724264,1513552.333,8272,3,GY,1,100,1.160
1618271615.762788,1513589.667,8272,3,GY,1,100,1.221
1618271615.801313,1513627.000,8272,3,GY,1,100,1.190
1618271615.840525,1513665.000,8291,3,GY,1,100,-3.143
1618271615.879738,1513703.000,8291,3,GY,1,100,-1.343
1618271615.918951,1513741.000,8291,3,GY,1,100,-2.136
1618271615.960227,1513781.000,8308,2,GY,1,100,0.031
1618271616.001503,1513821.000,8308,2,GY,1,100,0.153
1618271616.042779,1513861.000,8325,2,GY,1,100,1.190
1618271616.084056,1513901.000,8325,2,GY,1,100,3.052
1618271616.122924,1513938.667,8343,3,GY,1,100,2.625
1618271616.161793,1513976.333,8343,3,GY,1,100,0.610
1618271616.200661,1514014.000,8343,3,GY,1,100,2.441
1618271616.245034,1514057.000,8362,3,GY,1,100,0.427
1618271616.289406,1514100.000,8362,3,GY,1,100,1.007
1618271616.333778,1514143.000,8362,3,GY,1,100,2.899
1618271616.375570,1514183.500,8380,2,GY,1,100,1.465
1618271616.417362,1514224.000,8380,2,GY,1,100,0.946
1618271616.456231,1514261.667,8398,3,GY,1,100,0.610
1618271616.495099,1514299.333,8398,3,GY,1,100,-1.953
1618271616.533968,1514337.000,8398,3,GY,1,100,-0.671
1618271616.575244,1514377.000,8414,2,GY,1,100,2.197
1618271616.616520,1514417.000,8414,2,GY,1,100,2.594
1618271616.655045,1514454.333,8433,3,GY,1,100,0.214
1618271616.693570,1514491.667,8433,3,GY,1,100,0.824
1618271616.732094,1514529.000,8433,3,GY,1,100,0.183
1618271616.770963,1514566.667,8452,3,GY,1,100,1.801
1618271616.809831,1514604.333,8452,3,GY,1,100,2.228
1618271616.848700,1514642.000,8452,3,GY,1,100,-0.854
1618271616.890492,1514682.500,8470,2,GY,1,100,0.427
1618271616.932284,1514723.000,8470,2,GY,1,100,2.075
1618271616.971153,1514760.667,8487,3,GY,1,100,1.465
1618271617.010021,1514798.333,8487,3,GY,1,100,0.366
1618271617.048890,1514836.000,8487,3,GY,1,100,1.343
1618271617.090166,1514876.000,8505,2,GY,1,100,-0.366
1618271617.131443,1514916.000,8505,2,GY,1,100,0.488
1618271617.176159,1514959.333,8523,3,GY,1,100,0.366
1618271617.220875,1515002.667,8523,3,GY,1,100,1.862
1618271617.265591,1515046.000,8523,3,GY,1,100,1.221
1618271617.304803,1515084.000,8542,3,GY,1,100,1.953
1618271617.344016,1515122.000,8542,3,GY,1,100,0.549
1618271617.383228,1515160.000,8542,3,GY,1,100,-0.122
1618271617.425536,1515201.000,8559,2,GY,1,100,-1.038
1618271617.467845,1515242.000,8559,2,GY,1,100,-0.885
1618271617.506713,1515279.667,8577,3,GY,1,100,-0.122
1618271617.545582,1515317.333,8577,3,GY,1,100,-0.122
1618271617.584450,1515355.000,8577,3,GY,1,100,0.153
