EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1618271624.316276,1521878.667,9734,3,MX,1,100,-63
1618271624.354800,1521916.000,9734,3,MX,1,100,-63
1618271624.396593,1521956.500,9752,2,MX,1,100,-63
1618271624.438385,1521997.000,9752,2,MX,1,100,-63
1618271624.482413,1522039.667,9771,3,MX,1,100,-62
1618271624.526441,1522082.333,9771,3,MX,1,100,-62
1618271624.570469,1522125.000,9771,3,MX,1,100,-63
1618271624.604006,1522157.500,9788,2,MX,1,100,-63
1618271624.637543,1522190.000,9788,2,MX,1,100,-63
1618271624.682259,1522233.333,9805,3,MX,1,100,-63
1618271624.726975,1522276.667,9805,3,MX,1,100,-64
1618271624.771691,1522320.000,9805,3,MX,1,100,-64
1618271624.812968,1522360.000,9829,2,MX,1,100,-64
1618271624.854244,1522400.000,9829,2,MX,1,100,-64
1618271624.892768,1522437.333,9848,3,MX,1,100,-63
1618271624.931293,1522474.667,9848,3,MX,1,100,-64
1618271624.969818,1522512.000,9848,3,MX,1,100,-63
1618271625.008686,1522549.667,9866,3,MX,1,100,-62
1618271625.047555,1522587.333,9866,3,MX,1,100,-63
1618271625.086423,1522625.000,9866,3,MX,1,100,-63
1618271625.128731,1522666.000,9884,2,MX,1,100,-63
1618271625.171040,1522707.000,9884,2,MX,1,100,-63
1618271625.209908,1522744.667,9900,3,MX,1,100,-63
1618271625.248777,1522782.333,9900,3,MX,1,100,-63
1618271625.287645,1522820.000,9900,3,MX,1,100,-63
1618271625.328922,1522860.000,9919,2,MX,1,100,-63
1618271625.370198,1522900.000,9919,2,MX,1,100,-63
1618271625.409067,1522937.667,9937,3,MX,1,100,-62
1618271625.447935,1522975.333,9937,3,MX,1,100,-63
1618271625.486804,1523013.000,9937,3,MX,1,100,-63
1618271625.528596,1523053.500,9955,2,MX,1,100,-63
1618271625.570388,1523094.000,9955,2,MX,1,100,-64
1618271625.614416,1523136.667,9972,3,MX,1,100,-63
1618271625.658444,1523179.333,9972,3,MX,1,100,-64
1618271625.702472,1523222.000,9972,3,MX,1,100,-64
1618271625.741341,1523259.667,9991,3,MX,1,100,-63
1618271625.780210,1523297.333,9991,3,MX,1,100,-64
1618271625.819078,1523335.000,9991,3,MX,1,100,-64
1618271625.859838,1523374.500,10009,2,MX,1,100,-64
1618271625.900599,1523414.000,10009,2,MX,1,100,-64
1618271625.939123,1523451.333,10028,3,MX,1,100,-64
1618271625.977648,1523488.667,10028,3,MX,1,100,-64
1618271626.016173,1523526.000,10028,3,MX,1,100,-64
1618271626.058481,1523567.000,10045,2,MX,1,100,-64
1618271626.100789,1523608.000,10045,2,MX,1,100,-64
1618271626.139314,1523645.333,10062,3,MX,1,100,-63
1618271626.177838,1523682.667,10062,3,MX,1,100,-64
1618271626.216363,1523720.000,10062,3,MX,1,100,-64
1618271626.255231,1523757.667,10080,3,MX,1,100,-63
1618271626.294100,1523795.333,10080,3,MX,1,100,-63
1618271626.332968,1523833.000,10080,3,MX,1,100,-63
1618271626.374761,1523873.500,10099,2,MX,1,100,-63
1618271626.416553,1523914.000,10099,2,MX,1,100,-63
1618271626.455421,1523951.667,10117,3,MX,1,100,-63
1618271626.494290,1523989.333,10117,3,MX,1,100,-64
1618271626.533159,1524027.000,10117,3,MX,1,100,-63
1618271626.574435,1524067.000,10135,2,MX,1,100,-63
1618271626.615711,1524107.000,10135,2,MX,1,100,-63
1618271626.660427,1524150.333,10151,3,MX,1,100,-63
1618271626.705143,1524193.667,10151,3,MX,1,100,-65
1618271626.749859,1524237.000,10151,3,MX,1,100,-64
1618271626.788040,1524274.000,10171,3,MX,1,100,-64
1618271626.826221,1524311.000,10171,3,MX,1,100,-64
1618271626.864401,1524348.000,10171,3,MX,1,100,-64
1618271626.906193,1524388.500,10189,2,MX,1,100,-64
1618271626.947986,1524429.000,10189,2,MX,1,100,-63
1618271626.987198,1524467.000,10207,3,MX,1,100,-63
1618271627.026411,1524505.000,10207,3,MX,1,100,-63
1618271627.065623,1524543.000,10207,3,MX,1,100,-63
1618271627.106899,1524583.000,10223,2,MX,1,100,-64
1618271627.148176,1524623.000,10223,2,MX,1,100,-63
1618271627.186357,1524660.000,10242,3,MX,1,100,-63
1618271627.224537,1524697.000,10242,3,MX,1,100,-64
1618271627.262718,1524734.000,10242,3,MX,1,100,-64
1618271627.301586,1524771.667,10260,3,MX,1,100,-64
1618271627.340455,1524809.333,10260,3,MX,1,100,-63
1618271627.379323,1524847.000,10260,3,MX,1,100,-63
1618271627.421632,1524888.000,10279,2,MX,1,100,-62
1618271627.463940,1524929.000,10279,2,MX,1,100,-62
1618271627.505216,1524969.000,10296,2,MX,1,100,-63
1618271627.546493,1525009.000,10296,2,MX,1,100,-63
1618271627.585017,1525046.333,10313,3,MX,1,100,-63
1618271627.623542,1525083.667,10313,3,MX,1,100,-63
1618271627.662066,1525121.000,10313,3,MX,1,100,-63
1618271627.706438,1525164.000,10332,3,MX,1,100,-63
1618271627.750810,1525207.000,10332,3,MX,1,100,-64
1618271627.795182,1525250.000,10332,3,MX,1,100,-63
1618271627.835943,1525289.500,10351,2,MX,1,100,-63
1618271627.876703,1525329.000,10351,2,MX,1,100,-64
1618271627.916260,1525367.333,10368,3,MX,1,100,-63
1618271627.955816,1525405.667,10368,3,MX,1,100,-64
1618271627.995373,1525444.000,10368,3,MX,1,100,-64
1618271628.033897,1525481.333,10386,3,MX,1,100,-64
1618271628.072422,1525518.667,10386,3,MX,1,100,-64
1618271628.110946,1525556.000,10386,3,MX,1,100,-64
1618271628.152223,1525596.000,10403,2,MX,1,100,-64
1618271628.193499,1525636.000,10403,2,MX,1,100,-63
1618271628.232368,1525673.667,10422,3,MX,1,100,-63
1618271628.271236,1525711.333,10422,3,MX,1,100,-63
1618271628.310105,1525749.000,10422,3,MX,1,100,-63
1618271628.352413,1525790.000,10440,2,MX,1,100,-62
1618271628.394721,1525831.000,10440,2,MX,1,100,-62
1618271628.433590,1525868.667,10458,3,MX,1,100,-63
1618271628.472458,1525906.333,10458,3,MX,1,100,-63
1618271628.511327,1525944.000,10458,3,MX,1,100,-63
1618271628.553635,1525985.000,10474,2,MX,1,100,-63
1618271628.595943,1526026.000,10474,2,MX,1,100,-63
1618271628.634468,1526063.333,10493,3,MX,1,100,-63
1618271628.672992,1526100.667,10493,3,MX,1,100,-63
1618271628.711517,1526138.000,10493,3,MX,1,100,-63
1618271628.755545,1526180.667,10512,3,MX,1,100,-63
1618271628.799573,1526223.333,10512,3,MX,1,100,-63
1618271628.843601,1526266.000,10512,3,MX,1,100,-63
1618271628.882814,1526304.000,10531,3,MX,1,100,-63
1618271628.922026,1526342.000,10531,3,MX,1,100,-63
1618271628.961239,1526380.000,10531,3,MX,1,100,-63
1618271629.003031,1526420.500,10548,2,MX,1,100,-63
1618271629.044823,1526461.000,10548,2,MX,1,100,-63
1618271629.083348,1526498.333,10565,3,MX,1,100,-63
1618271629.121872,1526535.667,10565,3,MX,1,100,-62
1618271629.160397,1526573.000,10565,3,MX,1,100,-63
1618271629.199265,1526610.667,10583,3,MX,1,100,-63
1618271629.238134,1526648.333,10583,3,MX,1,100,-63
1618271629.277003,1526686.000,10583,3,MX,1,100,-63
1618271629.318279,1526726.000,10602,2,MX,1,100,-63
1618271629.359555,1526766.000,10602,2,MX,1,100,-63
1618271629.403583,1526808.667,10620,3,MX,1,100,-63
1618271629.447612,1526851.333,10620,3,MX,1,100,-64
