EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1618271619.945112,1517642.667,8983,3,PI,1,100,156753
1618271619.983981,1517680.333,8983,3,PI,1,100,156687
1618271620.022850,1517718.000,8983,3,PI,1,100,156176
1618271620.065158,1517759.000,9002,2,PI,1,100,155719
1618271620.107466,1517800.000,9002,2,PI,1,100,155580
1618271620.151150,1517842.333,9020,3,PI,1,100,155643
1618271620.194834,1517884.667,9020,3,PI,1,100,155817
1618271620.238518,1517927.000,9020,3,PI,1,100,155980
1618271620.277731,1517965.000,9038,3,PI,1,100,156012
1618271620.316943,1518003.000,9038,3,PI,1,100,155979
1618271620.356156,1518041.000,9038,3,PI,1,100,155974
1618271620.397432,1518081.000,9054,2,PI,1,100,156061
1618271620.438709,1518121.000,9054,2,PI,1,100,156182
1618271620.476545,1518157.667,9073,3,PI,1,100,156277
1618271620.514382,1518194.333,9073,3,PI,1,100,156381
1618271620.552218,1518231.000,9073,3,PI,1,100,156490
1618271620.591775,1518269.333,9091,3,PI,1,100,156556
1618271620.631331,1518307.667,9091,3,PI,1,100,156668
1618271620.670888,1518346.000,9091,3,PI,1,100,156785
1618271620.712680,1518386.500,9111,2,PI,1,100,156887
1618271620.754472,1518427.000,9111,2,PI,1,100,156777
1618271620.793341,1518464.667,9128,3,PI,1,100,156251
1618271620.832210,1518502.333,9128,3,PI,1,100,155916
1618271620.871078,1518540.000,9128,3,PI,1,100,155849
1618271620.909947,1518577.667,9145,3,PI,1,100,155987
1618271620.948815,1518615.333,9145,3,PI,1,100,156192
1618271620.987684,1518653.000,9145,3,PI,1,100,156391
1618271621.029992,1518694.000,9163,2,PI,1,100,156483
1618271621.072300,1518735.000,9163,2,PI,1,100,156471
1618271621.113577,1518775.000,9182,2,PI,1,100,156481
1618271621.154853,1518815.000,9182,2,PI,1,100,156572
1618271621.193377,1518852.333,9199,3,PI,1,100,156680
1618271621.231902,1518889.667,9199,3,PI,1,100,156806
1618271621.270427,1518927.000,9199,3,PI,1,100,156906
1618271621.315487,1518970.667,9217,3,PI,1,100,156957
1618271621.360547,1519014.333,9217,3,PI,1,100,156995
1618271621.405607,1519058.000,9217,3,PI,1,100,157034
1618271621.446367,1519097.500,9234,2,PI,1,100,157106
1618271621.487127,1519137.000,9234,2,PI,1,100,157209
1618271621.526684,1519175.333,9253,3,PI,1,100,157002
1618271621.566240,1519213.667,9253,3,PI,1,100,156468
1618271621.605797,1519252.000,9253,3,PI,1,100,156175
1618271621.644321,1519289.333,9271,3,PI,1,100,156148
1618271621.682846,1519326.667,9271,3,PI,1,100,156302
1618271621.721370,1519364.000,9271,3,PI,1,100,156512
1618271621.762647,1519404.000,9290,2,PI,1,100,156628
1618271621.803923,1519444.000,9290,2,PI,1,100,156595
1618271621.843136,1519482.000,9306,3,PI,1,100,156536
1618271621.882348,1519520.000,9306,3,PI,1,100,156584
1618271621.921561,1519558.000,9306,3,PI,1,100,156670
1618271621.963869,1519599.000,9325,2,PI,1,100,156782
1618271622.006177,1519640.000,9325,2,PI,1,100,156897
1618271622.044358,1519677.000,9343,3,PI,1,100,157005
1618271622.082538,1519714.000,9343,3,PI,1,100,157086
1618271622.120719,1519751.000,9343,3,PI,1,100,157192
1618271622.159931,1519789.000,9362,3,PI,1,100,157274
