EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,H0
1618271626.243192,1523746.000,10073,1,H0,1,100,89.089
1618271626.377341,1523876.000,10092,1,H0,1,100,89.081
1618271626.509425,1524004.000,10110,1,H0,1,100,89.116
1618271626.642541,1524133.000,10128,1,H0,1,100,89.093
1618271626.776689,1524263.000,10164,1,H0,1,100,89.112
1618271626.908773,1524391.000,10182,1,H0,1,100,89.089
1618271627.042921,1524521.000,10200,1,H0,1,100,89.097
1618271627.175006,1524649.000,10235,1,H0,1,100,89.074
1618271627.307090,1524777.000,10253,1,H0,1,100,89.093
1618271627.441238,1524907.000,10272,1,H0,1,100,89.081
1618271627.573322,1525035.000,10289,1,H0,1,100,89.089
1618271627.706438,1525164.000,10325,1,H0,1,100,89.116
1618271627.838523,1525292.000,10344,1,H0,1,100,89.100
