EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1618271987.406950,1873742.000,6733,2,RD,1,100,TL
1618271990.074433,1876327.000,6733,2,RD,1,100,TU
1618271992.732628,1878903.000,7656,2,RD,1,100,TL
1618271995.390824,1881479.000,7656,2,RD,1,100,TU
1618271998.026318,1884033.000,8559,2,RD,1,100,TL
1618272000.661811,1886587.000,8559,2,RD,1,100,TU
1618272003.311752,1889155.000,9479,2,RD,1,100,TL
1618272005.961692,1891723.000,9479,2,RD,1,100,TU
1618272008.597186,1894277.000,10383,2,RD,1,100,TL
1618272011.232679,1896831.000,10383,2,RD,1,100,TU
1618272013.882104,1899398.500,11303,2,RD,1,100,TL
1618272016.531528,1901966.000,11303,2,RD,1,100,TU
1618272019.172697,1904525.500,12206,2,RD,1,100,TL
1618272021.813866,1907085.000,12206,2,RD,1,100,TU
1618272024.448844,1909638.500,13109,2,RD,1,100,TL
1618272027.083822,1912192.000,13109,2,RD,1,100,TU
1618272029.741502,1914767.500,14030,2,RD,1,100,TL
1618272032.399181,1917343.000,14030,2,RD,1,100,TU
1618272035.034675,1919897.000,14935,2,RD,1,100,TL
1618272037.670169,1922451.000,14935,2,RD,1,100,TU
1618272040.305662,1925005.000,15839,2,RD,1,100,TL
1618272042.941156,1927559.000,15839,2,RD,1,100,TU
1618272045.587485,1930123.500,16743,2,RD,1,100,TL
1618272048.233813,1932688.000,16743,2,RD,1,100,TU
1618272050.869307,1935242.000,17647,2,RD,1,100,TL
1618272053.504801,1937796.000,17647,2,RD,1,100,TU
1618272056.156805,1940366.000,18567,2,RD,1,100,TL
1618272058.808809,1942936.000,18567,2,RD,1,100,TU
1618272061.474744,1945519.500,19489,2,RD,1,100,TL
1618272064.140679,1948103.000,19489,2,RD,1,100,TU
1618272066.796811,1950677.000,20409,2,RD,1,100,TL
1618272069.452942,1953251.000,20409,2,RD,1,100,TU
1618272072.088436,1955805.000,21312,2,RD,1,100,TL
1618272074.723930,1958359.000,21312,2,RD,1,100,TU
1618272077.359423,1960913.000,22217,2,RD,1,100,TL
1618272079.994917,1963467.000,22217,2,RD,1,100,TU
1618272082.650017,1966040.000,23137,2,RD,1,100,TL
1618272085.305117,1968613.000,23137,2,RD,1,100,TU
1618272087.940610,1971167.000,24040,2,RD,1,100,TL
1618272090.576104,1973721.000,24040,2,RD,1,100,TU
1618272093.212114,1976275.500,24945,2,RD,1,100,TL
1618272095.848123,1978830.000,24945,2,RD,1,100,TU
1618272098.507351,1981407.000,25866,2,RD,1,100,TL
1618272101.166579,1983984.000,25866,2,RD,1,100,TU
1618272103.802072,1986538.000,26770,2,RD,1,100,TL
1618272106.437566,1989092.000,26770,2,RD,1,100,TU
1618272109.085442,1991658.000,27690,2,RD,1,100,TL
1618272111.733319,1994224.000,27690,2,RD,1,100,TU
1618272114.368813,1996778.000,28595,2,RD,1,100,TL
1618272117.004306,1999332.000,28595,2,RD,1,100,TU
1618272119.639800,2001886.000,29499,2,RD,1,100,TL
1618272122.275294,2004440.000,29499,2,RD,1,100,TU
1618272124.934521,2007017.000,30419,2,RD,1,100,TL
1618272127.593749,2009594.000,30419,2,RD,1,100,TU
1618272130.249364,2012167.500,31341,2,RD,1,100,TL
1618272132.904980,2014741.000,31341,2,RD,1,100,TU
1618272135.540474,2017295.000,32244,2,RD,1,100,TL
1618272138.175968,2019849.000,32244,2,RD,1,100,TU
1618272140.834679,2022425.500,33164,2,RD,1,100,TL
1618272143.493391,2025002.000,33164,2,RD,1,100,TU
1618272146.145395,2027572.000,34068,2,RD,1,100,TL
1618272148.797399,2030142.000,34068,2,RD,1,100,TU
1618272151.451467,2032714.000,34974,2,RD,1,100,TL
1618272154.105535,2035286.000,34974,2,RD,1,100,TU
1618272156.749284,2037848.000,35878,2,RD,1,100,TL
1618272159.393033,2040410.000,35878,2,RD,1,100,TU
1618272162.047617,2042982.500,36780,2,RD,1,100,TL
1618272164.702201,2045555.000,36780,2,RD,1,100,TU
1618272167.341306,2048112.500,37683,2,RD,1,100,TL
1618272169.980412,2050670.000,37683,2,RD,1,100,TU
1618272172.616421,2053224.500,38588,2,RD,1,100,TL
1618272175.252431,2055779.000,38588,2,RD,1,100,TU
1618272177.895664,2058340.500,39491,2,RD,1,100,TL
1618272180.538897,2060902.000,39491,2,RD,1,100,TU
1618272183.195544,2063476.500,40394,2,RD,1,100,TL
1618272185.852192,2066051.000,40394,2,RD,1,100,TU
1618272188.500585,2068617.500,41297,2,RD,1,100,TL
1618272191.148977,2071184.000,41297,2,RD,1,100,TU
1618272193.800466,2073753.500,42201,2,RD,1,100,TL
1618272196.451954,2076323.000,42201,2,RD,1,100,TU
1618272199.095703,2078885.000,43107,2,RD,1,100,TL
1618272201.739452,2081447.000,43107,2,RD,1,100,TU
1618272204.395067,2084020.500,44011,2,RD,1,100,TL
