EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1618271627.373906,1524841.750,10263,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271627.425759,1524892.000,10263,4,EM,1,100,PS
1618271627.477613,1524942.250,10299,4,EM,1,100,RS
1618271627.529466,1524992.500,10299,4,EM,1,100,RB
1618271627.581319,1525042.750,10299,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271627.633173,1525093.000,10299,4,EM,1,100,PS
1618271627.686316,1525144.500,10335,4,EM,1,100,RS
1618271627.739459,1525196.000,10335,4,EM,1,100,RB
1618271627.792603,1525247.500,10335,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271627.845746,1525299.000,10335,4,EM,1,100,PS
1618271627.897599,1525349.250,10371,4,EM,1,100,RS
1618271627.949453,1525399.500,10371,4,EM,1,100,RB
1618271628.001306,1525449.750,10371,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271628.053159,1525500.000,10371,4,EM,1,100,PS
1618271628.105013,1525550.250,10406,4,EM,1,100,RS
1618271628.156866,1525600.500,10406,4,EM,1,100,RB
1618271628.208720,1525650.750,10406,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271628.260573,1525701.000,10406,4,EM,1,100,PS
1618271628.312426,1525751.250,10443,4,EM,1,100,RS
1618271628.364280,1525801.500,10443,4,EM,1,100,RB
1618271628.416133,1525851.750,10443,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271628.467987,1525902.000,10443,4,EM,1,100,PS
1618271628.519840,1525952.250,10477,4,EM,1,100,RS
1618271628.571693,1526002.500,10477,4,EM,1,100,RB
1618271628.623547,1526052.750,10477,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271628.675400,1526103.000,10477,4,EM,1,100,PS
1618271628.731897,1526157.750,10515,4,EM,1,100,RS
1618271628.788394,1526212.500,10515,4,EM,1,100,RB
1618271628.844891,1526267.250,10515,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271628.901388,1526322.000,10515,4,EM,1,100,PS
1618271628.953241,1526372.250,10551,4,EM,1,100,RS
1618271629.005095,1526422.500,10551,4,EM,1,100,RB
1618271629.056948,1526472.750,10551,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271629.108802,1526523.000,10551,4,EM,1,100,PS
1618271629.160655,1526573.250,10586,4,EM,1,100,RS
1618271629.212508,1526623.500,10586,4,EM,1,100,RB
1618271629.264362,1526673.750,10586,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271629.316215,1526724.000,10586,4,EM,1,100,PS
1618271629.368843,1526775.000,10623,4,EM,1,100,RS
1618271629.421470,1526826.000,10623,4,EM,1,100,RB
1618271629.474097,1526877.000,10623,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271629.526724,1526928.000,10623,4,EM,1,100,PS
1618271629.579352,1526979.000,10658,4,EM,1,100,RS
1618271629.631979,1527030.000,10658,4,EM,1,100,RB
1618271629.684606,1527081.000,10658,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271629.737234,1527132.000,10658,4,EM,1,100,PS
1618271629.789861,1527183.000,10695,4,EM,1,100,RS
1618271629.842488,1527234.000,10695,4,EM,1,100,RB
1618271629.895116,1527285.000,10695,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271629.947743,1527336.000,10695,4,EM,1,100,PS
1618271630.004240,1527390.750,10719,4,EM,1,100,RS
1618271630.060737,1527445.500,10719,4,EM,1,100,RB
1618271630.117234,1527500.250,10719,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271630.173731,1527555.000,10719,4,EM,1,100,PS
1618271630.225584,1527605.250,10756,4,EM,1,100,RS
1618271630.277438,1527655.500,10756,4,EM,1,100,RB
1618271630.329291,1527705.750,10756,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271630.381145,1527756.000,10756,4,EM,1,100,PS
1618271630.432998,1527806.250,10791,4,EM,1,100,RS
1618271630.484851,1527856.500,10791,4,EM,1,100,RB
1618271630.536705,1527906.750,10791,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271630.588558,1527957.000,10791,4,EM,1,100,PS
1618271630.640411,1528007.250,10828,4,EM,1,100,RS
1618271630.692265,1528057.500,10828,4,EM,1,100,RB
1618271630.744118,1528107.750,10828,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271630.795972,1528158.000,10828,4,EM,1,100,PS
1618271630.847825,1528208.250,10864,4,EM,1,100,RS
1618271630.899678,1528258.500,10864,4,EM,1,100,RB
1618271630.951532,1528308.750,10864,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271631.003385,1528359.000,10864,4,EM,1,100,PS
1618271631.055238,1528409.250,10899,4,EM,1,100,RS
1618271631.107092,1528459.500,10899,4,EM,1,100,RB
1618271631.158945,1528509.750,10899,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271631.210799,1528560.000,10899,4,EM,1,100,PS
1618271631.262652,1528610.250,10935,4,EM,1,100,RS
1618271631.314506,1528660.500,10935,4,EM,1,100,RB
1618271631.366359,1528710.750,10935,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271631.418212,1528761.000,10935,4,EM,1,100,PS
1618271631.470066,1528811.250,10970,4,EM,1,100,RS
1618271631.521919,1528861.500,10970,4,EM,1,100,RB
1618271631.573772,1528911.750,10970,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271631.625626,1528962.000,10970,4,EM,1,100,PS
1618271631.677479,1529012.250,11008,4,EM,1,100,RS
1618271631.729333,1529062.500,11008,4,EM,1,100,RB
1618271631.781186,1529112.750,11008,4,EM,1,100,2021-04-12_16-53-27-967617.csv
1618271631.833039,1529163.000,11008,4,EM,1,100,PS
1618271631.884893,1529213.250,11043,4,EM,1,100,RS
1618271631.936746,1529263.500,11043,4,EM,1,100,RB
